epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.967,2.14979,3.60863,1.70182,0.61584,0.11318,0.09125,0.03805,2.01541,2.96731,1.64164,0.000330952,0.000330952,0.000330952
2,329.768,1.87916,2.73046,1.47773,0.5895,0.15356,0.12168,0.0706,1.7139,2.62214,1.39174,0.000653325,0.000653325,0.000653325
3,591.428,1.7745,2.49777,1.42079,0.79092,0.0861,0.08207,0.03277,1.6454,2.46641,1.45475,0.000964698,0.000964698,0.000964698
4,958.527,1.71914,2.40295,1.41244,0.60661,0.11353,0.12253,0.0571,1.59507,2.39022,1.41388,0.0009505,0.0009505,0.0009505
5,1338.41,1.69065,2.32256,1.38475,0.4175,0.07366,0.06655,0.04401,1.5276,2.35337,1.32615,0.000934,0.000934,0.000934
6,1841.88,1.68965,2.26756,1.37542,0.60406,0.07366,0.08436,0.05144,1.4662,2.24744,1.35368,0.0009175,0.0009175,0.0009175
7,2409.14,1.641,2.21607,1.36763,0.5188,0.0571,0.04195,0.02595,1.66989,2.26171,1.42313,0.000901,0.000901,0.000901
8,3393.2,1.60493,2.14592,1.33683,0.55584,0.05958,0.04185,0.02664,1.48999,2.14331,1.32709,0.0008845,0.0008845,0.0008845
9,4586.37,1.60791,2.10649,1.34185,0.53033,0.0571,0.04014,0.02523,1.52188,2.13228,1.35527,0.000868,0.000868,0.000868
10,7026.51,1.58301,2.0601,1.32173,0.49931,0.05787,0.04217,0.02793,1.56734,2.02498,1.37966,0.0008515,0.0008515,0.0008515
